,Year-on-year change in diners,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,All breakouts have 50+ restaurants in the set.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Includes phone, online, and walk-in diners.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,City,State,Country,18-Feb,19-Feb,20-Feb,21-Feb,22-Feb,23-Feb,24-Feb,25-Feb,26-Feb,27-Feb,28-Feb,29-Feb,1-Mar,2-Mar,3-Mar,4-Mar,5-Mar,6-Mar,7-Mar,8-Mar,9-Mar,10-Mar,11-Mar,12-Mar,13-Mar,14-Mar,
,Calgary,Alberta,Canada,0%,4%,5%,0%,11%,6%,-4%,1%,-3%,-4%,3%,4%,-9%,-11%,-9%,-4%,-2%,2%,-10%,-4%,-11%,-8%,-7%,-27%,-48%,-51%,
,Edmonton,Alberta,Canada,8%,17%,3%,4%,2%,10%,0%,9%,1%,-4%,11%,8%,9%,-5%,11%,6%,-14%,5%,-14%,4%,-19%,-14%,-10%,-23%,-33%,-40%,
,Vancouver,British Columbia,Canada,9%,1%,7%,6%,7%,2%,1%,3%,1%,-5%,-1%,1%,-2%,-10%,-6%,-6%,-2%,-5%,-15%,-1%,1%,-6%,-17%,-24%,-36%,-33%,
,Toronto,Ontario,Canada,-14%,-8%,-9%,-9%,-4%,12%,-8%,-7%,-6%,-17%,-16%,-5%,-9%,-10%,-9%,-2%,-2%,-15%,-7%,5%,-18%,-21%,-28%,-37%,-49%,-49%,
,Montréal,Quebec,Canada,16%,14%,-5%,-1%,14%,42%,13%,21%,4%,1%,-7%,13%,15%,-32%,-21%,7%,0%,7%,14%,38%,-14%,-22%,-26%,-24%,-48%,-43%,
,Hamburg,,Germany,13%,12%,4%,12%,6%,9%,11%,14%,13%,1%,12%,0%,-3%,-5%,1%,-5%,-8%,-3%,4%,0%,-13%,-16%,-5%,-22%,-28%,-40%,
,München,,Germany,8%,14%,4%,10%,-1%,-6%,-4%,8%,-4%,-3%,4%,6%,19%,9%,-2%,8%,5%,-6%,13%,-9%,-15%,-19%,-21%,-17%,-28%,-44%,
,Dublin,,Ireland,-5%,-1%,7%,0%,-3%,-6%,-12%,-11%,0%,-4%,-9%,-6%,4%,-3%,-9%,-2%,-11%,-10%,-4%,-7%,-11%,-29%,-30%,-46%,-46%,-54%,
,Ciudad de México,Mexico City,Mexico,-8%,-9%,-2%,-3%,0%,2%,0%,-2%,-10%,-9%,-8%,-8%,-8%,-8%,-8%,-4%,-9%,-8%,-1%,-9%,-29%,-16%,-18%,-16%,-16%,-20%,
,San Pedro Garza García,Nuevo Leon,Mexico,-9%,-12%,-5%,4%,10%,17%,4%,-5%,0%,5%,-1%,17%,8%,25%,14%,9%,-5%,-1%,19%,-3%,-22%,1%,-11%,-22%,-28%,-34%,
,London,,United Kingdom,4%,1%,2%,3%,-1%,-4%,-3%,-3%,-1%,-4%,-1%,-4%,-2%,-10%,-10%,-10%,-13%,-7%,-7%,-7%,-22%,-23%,-19%,-29%,-36%,-31%,
